Word,Sana,Rank
point,kohta,208
believe,uskoa,209
hold,pitää,210
today,tänään,211
bring,tuoda,212
happen,tapahtua,213
next,Seuraava,214
without,ilman,215
before,ennen,216
large,suuri,217
all,kaikki,218
million,miljoona,219
must,on pakko,220
home,Koti,221
under,alla,222
water,vesi,223
room,huone,224
write,kirjoittaa,225
mother,äiti,226
area,alue,227
national,kansallinen,228
money,raha,229
story,tarina,230
young,nuori,231
fact,tosiasia,232
month,kuukausi,233
different,eri,234
lot,erä,235
right,oikea,236
study,tutkimus,237
book,kirja,238
eye,silmä,239
job,Job,240
word,sana,241
though,vaikka,242
business,liiketoiminta,243
issue,ongelma,244
side,puoli,245
kind,kiltti,246
four,neljä,247
head,pää,248
far,pitkälle,249
black,musta,250
long,pitkä,251
both,molemmat,252
little,vähän,253
house,talo,254
yes,Joo,255
after,jälkeen,256
since,siitä asti kun,257
long,pitkä,258
provide,säätää,259
service,palvelu,260
around,noin,261
friend,ystävä,262
important,tärkeä,263
father,isä,264
sit,istua,265
away,pois,266
until,siihen asti kun,267
power,teho,268
hour,tunnin,269
game,peli,270
often,usein,271
yet,vielä,272
line,linja,273
political,poliittinen,274
end,pää,275
among,keskuudessa,276
ever,koskaan,277
stand,seistä,278
bad,huono,279
lose,menettää,280
however,kuitenkin,281
member,jäsen,282
pay,maksaa,283
law,laki,284
meet,tavata,285
car,auto,286
city,kaupunki,287
almost,melkein,288
include,sisältää,289
continue,jatkaa,290
set,sarja,291
later,myöhemmin,292
community,Yhteisö,293
much,paljon,294
name,nimi,295
five,viisi,296
once,kerran,297
white,valkoinen,298
least,vähiten,299
president,presidentti,300
learn,oppia,301
real,todellinen,302
change,muuttaa,303
team,tiimi,304
minute,minuutti,305
best,parhaat,306
several,useat,307
idea,ajatus,308
kid,lapsi,309
body,ruumis,310
information,tiedot,311
nothing,ei mitään,312
ago,sitten,313
right,oikea,314
lead,johtaa,315
social,sosiaalinen,316
understand,ymmärtää,317
whether,onko,318
back,takaisin,319
watch,katsella,320
together,yhdessä,321
follow,seurata,322
around,noin,323
parent,vanhempi,324
only,vain,325
stop,pysäyttää,326
face,kasvot,327
anything,mitään,328
create,luoda,329
public,julkinen,330
already,jo,331
speak,puhua,332
others,toiset,333
read,lukea,334
level,taso,335
allow,sallia,336
add,lisätä,337
office,toimisto,338
spend,viettää,339
door,ovi,340
health,terveys,341
person,henkilö,342
art,taide,343
sure,varma,344
such,sellainen,345
war,sota,346
history,historia,347
party,juhla,348
within,sisällä,349
grow,kasvaa,350
result,tulos,351
open,avata,352
change,muuttaa,353
morning,aamu,354
walk,kävellä,355
reason,syy,356
low,matala,357
win,voittaa,358
research,tutkimus,359
girl,tyttö,360
guy,kaveri,361
early,aikaisin,362
food,ruoka,363
before,ennen,364
moment,hetki,365
himself,itse,366
air,ilma,367
teacher,opettaja,368
force,pakottaa,369
offer,tarjous,370
enough,tarpeeksi,371
both,molemmat,372
education,koulutus,373
across,poikki,374
although,vaikka,375
remember,muistaa,376
foot,jalka,377
second,toinen,378
boy,poika,379
maybe,ehkä,380
toward,kohti,381
able,pystyä,382
age,ikä,383
off,pois päältä,384
policy,politiikka,385
everything,kaikki,386
love,rakkaus,387
process,käsitellä asiaa,388
music,musiikki,389
including,mukaan lukien,390
consider,harkita,391
appear,ilmestyä,392
actually,itse asiassa,393
buy,ostaa,394
probably,todennäköisesti,395
human,ihmisen,396
wait,odota,397
serve,palvella,398
market,markkinoida,399
die,kuolla,400
send,lähettää,401
expect,odottaa,402
home,Koti,403
sense,tunne,404
build,rakentaa,405
stay,pysyä,406
fall,pudota,407
oh,vai niin,408
nation,kansakunta,409
plan,suunnitelma,410
cut,leikata,411
college,college,412
interest,kiinnostuksen kohde,413
death,kuolema,414
course,kurssi,415
someone,joku,416
experience,kokea,417
behind,takana,418
reach,saavuttaa,419
local,paikallinen,420
kill,tappaa,421
six,kuusi,422
remain,jäädä jäljelle,423
effect,vaikutus,424
use,käyttää,425
yeah,Joo,426
suggest,ehdottaa,427
class,luokka,428
control,ohjaus,429
raise,nostaa,430
care,hoito,431
perhaps,ehkä,432
little,vähän,433
late,myöhään,434
hard,kova,435
field,ala,436
else,muu,437
pass,kulkea,438
former,entinen,439
sell,myydä,440
major,suuri,441
sometimes,joskus,442
require,vaatia,443
along,pitkin,444
development,kehitys,445
themselves,itse,446
report,raportti,447
role,rooli,448
better,paremmin,449
economic,taloudellinen,450
effort,ponnistus,451
up,ylös,452
decide,päättää,453
rate,nopeus,454
strong,vahva,455
possible,mahdollinen,456
heart,sydän,457
drug,lääke,458
show,show,459
leader,johtaja,460
light,valo,461
voice,ääni,462
wife,vaimo,463
whole,koko,464
police,Poliisi,465
mind,mieli,466
finally,vihdoin,467
pull,Vedä,468
return,palata,469
free,vapaa,470
military,sotilaallinen,471
price,hinta,472
report,raportti,473
less,Vähemmän,474
according,mukaan,475
decision,päätös,476
explain,selittää,477
son,poika,478
hope,toivoa,479
even,jopa,480
develop,kehittää,481
view,näkymä,482
relationship,yhteys,483
carry,kuljettaa,484
town,kaupunki,485
road,tie,486
drive,ajaa,487
arm,käsivarsi,488
TRUE,TOTTA,489
federal,liittovaltion,490
break,tauko,491
better,paremmin,492
difference,ero,493
thank,kiittää,494
receive,vastaanottaa,495
value,arvo,496
international,kansainvälinen,497
building,rakennus,498
action,toiminta,499
full,koko,500
model,malli-,501
join,liittyä seuraan,502
season,kausi,503
society,yhteiskunta,504
because,koska,505
tax,verottaa,506
director,johtaja,507
early,aikaisin,508
position,asento,509
player,pelaaja,510
agree,olla samaa mieltä,511
especially,erityisesti,512
record,ennätys,513
pick,valita,514
wear,pitää päällä,515
paper,paperi,516
special,erityinen,517
space,tila,518
ground,maa,519
form,muoto,520
support,tuki,521
event,tapahtuma,522
official,virallinen,523
whose,jonka,524
matter,asia,525
everyone,jokainen,526
center,keskusta,527
couple,pari,528
site,paikka,529
end,pää,530
project,projekti,531
hit,osuma,532
base,pohja,533
activity,aktiviteetti,534
star,tähti,535
table,pöytä,536
need,tarve,537
court,tuomioistuin,538
produce,tuottaa,539
eat,syödä,540
American,amerikkalainen,541
teach,opettaa,542
oil,öljy,543
half,puoli,544
situation,tilanne,545
easy,helppo,546
cost,kustannus,547
industry,ala,548
figure,kuva,549
face,kasvot,550
street,katu,551
image,kuva,552
itself,itse,553
phone,puhelin,554
either,jompikumpi,555
data,data,556
cover,peite,557
quite,melko,558
picture,kuva,559
clear,asia selvä,560
practice,harjoitella,561
piece,pala,562
land,maa,563
recent,viimeaikainen,564
describe,kuvata,565
product,tuote,566
doctor,lääkäri,567
wall,seinä,568
patient,potilas,569
worker,työntekijä,570
news,uutiset,571
test,testata,572
movie,elokuva,573
certain,tietty,574
north,pohjoinen,575
love,rakkaus,576
personal,henkilökohtainen,577
open,avata,578
support,tuki,579
simply,yksinkertaisesti,580
third,kolmas,581
technology,tekniikka,582
catch,ottaa kiinni,583
step,vaihe,584
baby,vauva,585
computer,tietokone,586
type,tyyppi,587
attention,huomio,588
draw,piirtää,589
film,elokuva,590
Republican,tasavaltalainen,591
tree,puu,592
source,lähde,593
red,punainen,594
nearly,lähes,595
organization,organisaatio,596
choose,valita,597
cause,syy,598
hair,hiukset,599
look,Katso,600
point,kohta,601
century,vuosisata,602
evidence,näyttö,603
window,ikkuna,604
difficult,vaikea,605
listen,kuunnella,606
soon,pian,607
culture,kulttuuri,608
billion,miljardi,609
chance,mahdollisuus,610
brother,veli,611
energy,energia,612
period,aika,613
course,kurssi,614
summer,kesä,615
less,Vähemmän,616
realize,ymmärtää,617
hundred,sata,618
available,käytettävissä,619
plant,kasvi,620
likely,todennäköisesti,621
opportunity,tilaisuus,622
term,termi,623
short,lyhyt,624
letter,kirje,625
condition,kunto,626
choice,valinta,627
place,paikka,628
single,yksittäinen,629
rule,sääntö,630
daughter,tytär,631
administration,antaminen,632
south,etelä,633
husband,aviomies,634
Congress,kongressi,635
floor,lattia,636
campaign,kampanja,637
material,materiaali,638
population,väestö,639
well,hyvin,640
call,puhelu,641
economy,talous,642
medical,lääketieteellinen,643
hospital,sairaala,644
church,kirkko,645
close,kiinni,646
thousand,tuhat,647
risk,riski,648
current,nykyinen,649
fire,antaa potkut,650
future,tulevaisuus,651
wrong,väärä,652
involve,sisältää,653
defense,puolustus,654
anyone,kukaan,655
increase,lisääntyä,656
security,turvallisuus,657
bank,pankki,658
myself,itse,659
certainly,varmasti,660
west,länsi,661
sport,Urheilu,662
board,lauta,663
seek,etsiä,664
per,kohti,665
subject,aihe,666
officer,upseeri,667
private,yksityinen,668
rest,levätä,669
behavior,käytös,670
deal,sopimus,671
performance,esitys,672
fight,taistella,673
throw,heittää,674
top,ylin,675
quickly,nopeasti,676
past,menneisyys,677
goal,tavoite,678
second,toinen,679
bed,sänky,680
order,tilata,681
author,kirjailija,682
fill,täyttää,683
represent,edustaa,684
focus,fokus,685
foreign,ulkomainen,686
drop,pudota,687
plan,suunnitelma,688
blood,veri,689
upon,päälle,690
agency,toimisto,691
push,työntää,692
nature,luonto,693
color,väri-,694
no,ei,695
recently,äskettäin,696
store,myymälä,697
reduce,vähentää,698
sound,ääni,699
note,Huomautus,700
fine,hieno,701
before,ennen,702
near,lähellä,703
movement,liike,704
page,sivu,705
enter,tulla sisään,706
share,Jaa,707
than,kuin,708
common,yhteinen,709
poor,huono,710
other,muut,711
natural,luonnollinen,712
race,rotu,713
concern,koskea,714
series,sarja,715
significant,merkittävä,716
similar,samankaltainen,717
hot,kuuma,718
language,Kieli,719
each,kukin,720
usually,yleensä,721
response,vastaus,722
dead,kuollut,723
rise,kohota,724
animal,eläin,725
factor,tekijä,726
decade,vuosikymmen,727
article,artikla,728
shoot,ampua,729
east,itään,730
save,Tallentaa,731
seven,seitsemän,732
artist,taiteilija,733
away,pois,734
scene,näkymä,735
stock,kalusto,736
career,ura,737
despite,huolimatta,738
central,keskus-,739
eight,kahdeksan,740
thus,täten,741
treatment,hoito,742
beyond,ulkopuolella,743
happy,onnellinen,744
exactly,tarkalleen,745
protect,suojella,746
approach,lähestyä,747
lie,valehdella,748
size,koko,749
dog,koira,750
fund,rahoittaa,751
serious,vakava,752
occur,tapahtua,753
media,tiedotusvälineet,754
ready,valmis,755
sign,merkki,756
thought,ajatus,757
list,lista,758
individual,yksilö,759
simple,yksinkertainen,760
quality,laatu,761
pressure,paine,762
accept,hyväksyä,763
answer,vastaus,764
hard,kova,765
resource,resurssi,766
identify,tunnistaa,767
left,vasen,768
meeting,tapaaminen,769
determine,määrittää,770
prepare,valmistella,771
disease,tauti,772
whatever,aivan sama,773
success,menestys,774
argue,väitellä,775
cup,kuppi,776
particularly,erityisesti,777
amount,määrä,778
ability,kyky,779
staff,henkilöstö,780
recognize,tunnistaa,781
indicate,osoittaa,782
character,merkki,783
growth,kasvu,784
loss,menetys,785
degree,aste,786
wonder,ihme,787
attack,hyökkäys,788
herself,oma itsensä,789
region,alue,790
television,televisio,791
box,laatikko,792
TV,TV,793
training,koulutus,794
pretty,nätti,795
trade,käydä kauppaa,796
deal,sopimus,797
election,vaalit,798
everybody,jokainen,799
physical,fyysinen,800
lay,asettaa,801
general,yleinen,802
feeling,tunne,803
standard,standardi,804
bill,laskuttaa,805
message,viesti,806
fail,epäonnistua,807
outside,ulkopuolella,808
arrive,saapua,809
analysis,analyysi,810
benefit,hyöty,811
name,nimi,812
sex,sukupuoli,813
forward,eteenpäin,814
lawyer,lakimies,815
present,esittää,816
section,jakso,817
environmental,ympäristö-,818
glass,lasi-,819
answer,vastaus,820
skill,taito,821
sister,sisko,822
PM,pääministeri,823
professor,professori,824
operation,operaatio,825
financial,taloudellinen,826
crime,rikollisuus,827
stage,vaihe,828
ok,kunnossa,829
compare,vertailla,830
authority,auktoriteetti,831
miss,neiti,832
design,design,833
sort,järjestellä,834
one,yksi,835
act,toimia,836
ten,kymmenen,837
knowledge,tuntemus,838
gun,ase,839
station,asema,840
blue,sininen,841
state,osavaltio,842
strategy,strategia,843
little,vähän,844
clearly,selvästi,845
discuss,keskustella,846
indeed,todellakin,847
force,pakottaa,848
truth,totuus,849
song,laulu,850
example,esimerkki,851
democratic,demokraattinen,852
check,tarkistaa,853
environment,ympäristö,854
leg,jalka,855
dark,tumma,856
public,julkinen,857
various,eri,858
rather,pikemminkin,859
laugh,nauraa,860
guess,arvaus,861
executive,johtaja,862
set,sarja,863
study,tutkimus,864
prove,todistaa,865
hang,ripustaa,866
entire,koko,867
rock,rock,868
design,design,869
enough,tarpeeksi,870
forget,unohtaa,871
since,siitä asti kun,872
claim,vaatimus,873
note,Huomautus,874
remove,poistaa,875
manager,johtaja,876
help,auta,877
close,kiinni,878
sound,ääni,879
enjoy,nauttia,880
network,verkko,881
legal,oikeudellinen,882
religious,uskonnollinen,883
cold,kylmä,884
form,muoto,885
final,lopullinen,886
main,tärkein,887
science,tiede,888
green,vihreä,889
memory,muisti,890
card,kortti-,891
above,edellä,892
seat,istuin,893
cell,solu,894
establish,perustaa,895
nice,kiva,896
trial,oikeudenkäynti,897
expert,asiantuntija,898
that,että,899
spring,kevät,900
firm,yritys,901
Democrat,Demokraatti,902
radio,radio,903
visit,vierailla,904
management,johto,905
care,hoito,906
avoid,välttää,907
imagine,kuvitella,908
tonight,tänä yönä,909
huge,valtava,910
ball,pallo,911
no,ei,912
close,kiinni,913
finish,suorittaa loppuun,914
yourself,sinä itse,915
talk,puhua,916
theory,teoria,917
impact,vaikutus,918
respond,vastata,919
statement,selvitys,920
maintain,ylläpitää,921
charge,veloittaa,922
popular,suosittu,923
traditional,perinteinen,924
onto,päälle,925
reveal,paljastaa,926
direction,suunta,927
weapon,ase,928
employee,työntekijä,929
cultural,kulttuurinen,930
contain,sisältää,931
peace,rauha,932
head,pää,933
control,ohjaus,934
base,pohja,935
pain,kipu,936
apply,Käytä,937
play,pelata,938
measure,mitata,939
wide,leveä,940
shake,ravistaa,941
fly,lentää,942
interview,haastatella,943
manage,hoitaa,944
chair,tuoli,945
fish,kalastaa,946
particular,tietty,947
camera,kamera,948
structure,rakenne,949
politics,politiikka,950
perform,suorittaa,951
bit,bitti,952
weight,paino,953
suddenly,yhtäkkiä,954
discover,löytää,955
candidate,ehdokas,956
top,ylin,957
production,tuotanto,958
treat,kohdella,959
trip,matka,960
evening,ilta,961
affect,vaikuttaa,962
inside,sisällä,963
conference,konferenssi,964
unit,yksikkö,965
best,parhaat,966
style,tyyli,967
adult,aikuinen,968
worry,huoli,969
range,alue,970
mention,mainita,971
rather,pikemminkin,972
far,pitkälle,973
deep,syvä,974
past,menneisyys,975
edge,reuna,976
individual,yksilö,977
specific,erityinen,978
writer,kirjailija,979
trouble,vaivata,980
necessary,välttämätön,981
throughout,kauttaaltaan,982
challenge,haaste,983
fear,pelko,984
shoulder,olkapää,985
institution,instituutio,986
middle,keskimmäinen,987
sea,meri,988
dream,unelma,989
bar,baari,990
beautiful,kaunis,991
property,omaisuus,992
instead,sen sijaan,993
improve,parantaa,994
stuff,jutut,995
detail,yksityiskohta,996
method,menetelmä,997
sign,merkki,998
somebody,joku,999
magazine,aikakauslehti,1000
hotel,hotelli,1001
soldier,sotilas,1002
reflect,heijastaa,1003
heavy,raskas,1004
sexual,seksuaalinen,1005
cause,syy,1006
bag,laukku,1007
heat,lämpö,1008
fall,pudota,1009
marriage,avioliitto,1010
tough,kova,1011
sing,laulaa,1012
surface,pinta-,1013
purpose,tarkoitus,1014
exist,olla olemassa,1015
pattern,kuvio,1016
whom,ketä,1017
skin,iho,1018
agent,agentti,1019
owner,omistaja,1020
machine,kone,1021
gas,kaasu,1022
down,alas,1023
ahead,eteenpäin,1024
generation,sukupolvi,1025
commercial,kaupallinen,1026
address,osoite,1027
cancer,syöpä,1028
test,testata,1029
item,erä,1030
reality,todellisuus,1031
coach,valmentaja,1032
step,vaihe,1033
Mrs,rouva,1034
yard,piha,1035
beat,lyödä,1036
violence,väkivalta,1037
total,kaikki yhteensä,1038
tend,taipumus,1039
investment,investointi,1040
discussion,keskustelu,1041
finger,sormi,1042
garden,puutarha,1043
notice,ilmoitus,1044
collection,kokoelma,1045
modern,moderni,1046
task,tehtävä,1047
partner,kumppani,1048
positive,positiivinen,1049
civil,siviili-,1050
kitchen,keittiö,1051
consumer,kuluttaja,1052
shot,laukaus,1053
budget,talousarvio,1054
wish,toive,1055
painting,maalaus,1056
scientist,tiedemies,1057
safe,turvallinen,1058
agreement,sopimus,1059
capital,iso alkukirjain,1060
mouth,suu,1061
nor,ei myöskään,1062
victim,uhri,1063
newspaper,sanomalehti,1064
instead,sen sijaan,1065
threat,uhkaus,1066
responsibility,vastuu,1067
smile,hymy,1068
attorney,asianajaja,1069
score,pisteet,1070
account,tili,1071
interesting,mielenkiintoista,1072
break,tauko,1073
audience,yleisö,1074
rich,rikas,1075
dinner,päivällinen,1076
figure,kuva,1077
vote,äänestys,1078
western,Läntinen,1079
relate,koskea,1080
travel,matkustaa,1081
debate,keskustelu,1082
prevent,estää,1083
citizen,kansalainen,1084
majority,suurin osa,1085
none,ei mitään,1086
front,etuosa,1087
born,syntynyt,1088
admit,myöntää,1089
senior,vanhempi,1090
assume,olettaa,1091
wind,tuuli,1092
key,avain,1093
professional,ammattilainen,1094
mission,tehtävä,1095
fast,nopeasti,1096
alone,yksin,1097
customer,asiakas,1098
suffer,kärsiä,1099
speech,puhe,1100
successful,onnistunut,1101
option,vaihtoehto,1102
participant,osallistuja,1103
southern,eteläinen,1104
fresh,tuore,1105
eventually,lopulta,1106
no,ei,1107
forest,metsä,1108
video,video-,1109
global,maailmanlaajuinen,1110
Senate,senaatti,1111
reform,uudistaa,1112
access,pääsy,1113
restaurant,ravintola,1114
judge,tuomari,1115
publish,julkaista,1116
cost,kustannus,1117
relation,suhde,1118
like,Kuten,1119
release,julkaisu,1120
own,oma,1121
bird,lintu,1122
opinion,lausunto,1123
credit,luotto,1124
critical,kriittinen,1125
corner,kulma,1126
concerned,huolestunut,1127
recall,palauttaa mieleen,1128
version,versio,1129
stare,tuijottaa,1130
safety,turvallisuus,1131
effective,tehokas,1132
neighborhood,naapuruus,1133
original,alkuperäinen,1134
act,toimia,1135
troop,joukko,1136
income,tulo,1137
directly,suoraan,1138
hurt,satuttaa,1139
species,laji,1140
immediately,heti,1141
track,seurata,1142
basic,perustiedot,1143
strike,lakko,1144
hope,toivoa,1145
sky,taivas,1146
freedom,vapaus,1147
absolutely,ehdottomasti,1148
plane,kone,1149
nobody,ei kukaan,1150
achieve,saavuttaa,1151
object,esine,1152
attitude,asenne,1153
labor,työvoima,1154
refer,viitata,1155
concept,konsepti,1156
client,asiakas,1157
powerful,voimakas,1158
perfect,täydellinen,1159
nine,yhdeksän,1160
therefore,siksi,1161
conduct,käytös,1162
announce,ilmoittaa,1163
conversation,keskustelu,1164
examine,tutkia,1165
touch,kosketus,1166
please,ole kiltti,1167
attend,käydä,1168
completely,täysin,1169
vote,äänestys,1170
variety,lajike,1171
sleep,nukkua,1172
turn,vuoro,1173
involved,osallistuva,1174
investigation,tutkimus,1175
nuclear,ydinaseiden,1176
researcher,tutkija,1177
press,Lehdistö,1178
conflict,konflikti,1179
spirit,henki,1180
experience,kokea,1181
replace,korvata,1182
British,brittiläinen,1183
encourage,kannustaa,1184
lot,erä,1185
lot,erä,1186
lot,erä,1187
lot,erä,1188
argument,Perustelu,1189
by,mennessä,1190
once,kerran,1191
camp,leiri,1192
brain,aivot,1193
feature,ominaisuus,1194
afternoon,iltapäivällä,1195
AM,OLEN,1196
weekend,viikonloppu,1197
dozen,tusina,1198
possibility,mahdollisuus,1199
along,pitkin,1200
insurance,vakuutus,1201
department,osasto,1202
battle,taistelu,1203
beginning,alku,1204
date,Treffi,1205
generally,yleisesti,1206
African,afrikkalainen,1207
very,erittäin,1208
sorry,anteeksi,1209
crisis,kriisi,1210
complete,saattaa loppuun,1211
fan,tuuletin,1212
stick,tikku,1213
define,määritellä,1214
easily,helposti,1215
through,kautta,1216
hole,reikä,1217
element,elementti,1218
vision,näkemys,1219
status,status,1220
normal,normaali,1221
Chinese,Kiinalainen,1222
ship,alus,1223
solution,ratkaisu,1224
stone,kivi,1225
slowly,hitaasti,1226
scale,asteikko,1227
bit,bitti,1228
university,yliopisto,1229
introduce,esitellä,1230
driver,kuljettaja,1231
attempt,yrittää,1232
park,pysäköidä,1233
spot,täplä,1234
lack,puute,1235
ice,jää,1236
boat,vene,1237
drink,juoda,1238
sun,aurinko,1239
front,etuosa,1240
distance,etäisyys,1241
wood,puu,1242
handle,kahva,1243
truck,kuorma-auto,1244
return,palata,1245
mountain,vuori,1246
survey,tutkimus,1247
supposed,oletettu,1248
tradition,perinne,1249
winter,talvi-,1250
village,kylä,1251
Soviet,Neuvostoliiton,1252
refuse,kieltäytyä,1253
sales,myynti,1254
roll,rulla,1255
communication,viestintä,1256
run,juosta,1257
screen,kuvaruutu,1258
gain,saada,1259
resident,asukas,1260
hide,piilottaa,1261
gold,kulta-,1262
club,klubi,1263
future,tulevaisuus,1264
farm,maatila,1265
potential,mahdollinen,1266
increase,lisääntyä,1267
middle,keskimmäinen,1268
European,eurooppalainen,1269
presence,läsnäolo,1270
independent,itsenäinen,1271
district,piiri,1272
shape,muoto,1273
reader,lukija,1274
Ms,neiti,1275
contract,sopimus,1276
crowd,väkijoukko,1277
Christian,kristillinen,1278
express,ilmaista,1279
apartment,huoneisto,1280
willing,halukas,1281
strength,vahvuus,1282
previous,Edellinen,1283
band,bändi,1284
obviously,ilmeisesti,1285
horse,hevonen,1286
interested,kiinnostunut,1287
target,kohde,1288
prison,vankila,1289
ride,ratsastaa,1290
guard,vartija,1291
terms,ehdot,1292
demand,kysyntä,1293
reporter,reportteri,1294
deliver,toimittaa,1295
text,teksti,1296
share,Jaa,1297
tool,työkalu,1298
wild,villi,1299
vehicle,ajoneuvo,1300
observe,tarkkailla,1301
flight,lento,1302
inside,sisällä,1303
facility,laitos,1304
understanding,ymmärtäminen,1305
average,keskiverto,1306
emerge,ilmaantua,1307
advantage,etu,1308
quick,nopea,1309
light,valo,1310
leadership,johto,1311
earn,ansaita,1312
pound,punta,1313
basis,perusta,1314
bright,kirkas,1315
operate,toimia,1316
guest,vieras,1317
sample,näyte,1318
contribute,edistävät,1319
tiny,pikkuruinen,1320
block,lohko,1321
protection,suojaus,1322
settle,asettua,1323
feed,rehu,1324
collect,kerätä,1325
additional,lisä-,1326
while,sillä aikaa,1327
highly,erittäin,1328
identity,identiteetti,1329
title,otsikko,1330
mostly,enimmäkseen,1331
lesson,oppitunti,1332
faith,usko,1333
river,joki,1334
promote,edistää,1335
living,elävä,1336
present,esittää,1337
count,Kreivi,1338
unless,ellei,1339
marry,naida,1340
tomorrow,huomenna,1341
technique,tekniikka,1342
path,polku,1343
ear,korva,1344
shop,myymälä,1345
folk,kansan-,1346
order,tilata,1347
principle,periaate,1348
survive,hengissä,1349
lift,hissi,1350
border,reunus,1351
competition,kilpailu,1352
jump,hypätä,1353
gather,kerätä,1354
limit,raja,1355
fit,sovittaa,1356
claim,vaatimus,1357
cry,itkeä,1358
equipment,laitteet,1359
worth,arvoinen,1360
associate,kumppani,1361
critic,kriitikko,1362
warm,lämmin,1363
aspect,näkökohta,1364
result,tulos,1365
insist,vaatia,1366
failure,vika,1367
annual,vuotuinen,1368
French,Ranskan kieli,1369
Christmas,joulu,1370
comment,kommentti,1371
responsible,vastuullinen,1372
affair,asia,1373
approach,lähestyä,1374
until,siihen asti kun,1375
procedure,menettely,1376
regular,säännöllinen,1377
spread,levitä,1378
chairman,puheenjohtaja,1379
baseball,baseball,1380
soft,pehmeä,1381
ignore,jättää huomiotta,1382
egg,muna,1383
measure,mitata,1384
belief,uskomus,1385
demonstrate,osoittaa,1386
anybody,kukaan,1387
murder,murhata,1388
gift,lahja,1389
religion,uskonto,1390
review,arvostelu,1391
editor,toimittaja,1392
past,menneisyys,1393
engage,sitoutua,1394
coffee,kahvi,1395
document,asiakirja,1396
speed,nopeus,1397
cross,ylittää,1398
influence,vaikutus,1399
anyway,joka tapauksessa,1400
threaten,uhata,1401
commit,sitoutumaan,1402
female,Nainen,1403
youth,nuoret,1404
wave,Aalto,1405
move,liikkua,1406
afraid,peloissaan,1407
quarter,neljännes,1408
background,tausta,1409
native,syntyperäinen,1410
broad,laaja,1411
wonderful,ihana,1412
